Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ÇªÇÃëº,ïœçXïÒçêèë,ó’éûïÒçêèë,élîºä˙ïÒçêèë,óLâøèÿåîïÒçêèë
2024/04/08,2752.33784677933,2770.48405139994,2738.11514586048,2763.61791992187,389000,0,0,,,,,
2024/04/09,2775.87870269166,2798.43884762519,2752.82811982478,2776.369140625,343700,0,0,,,,,
2024/04/10,2795.49624928164,2828.35559115916,2782.25442494293,2826.88427734375,595500,0,0,,,,,
2024/04/11,2797.94852535305,2819.03735735834,2783.2353867447,2804.32421875,419600,0,0,,,,,
2024/04/12,2844.54002457539,2917.12483899559,2815.11374845909,2909.27783203125,1136500,0,0,,,,,
2024/04/15,2852.38707545945,2897.50736619917,2806.77634677689,2892.11254882812,736900,0,0,,,,,
2024/04/16,2898.48821153157,2932.81886716731,2833.75040376133,2847.48266601562,970600,0,0,,,,,
2024/04/17,2896.52646739574,2898.97865709045,2775.38829647688,2815.11376953125,820300,0,0,,,,,
2024/04/18,2805.3050053721,2872.98544081639,2793.53449486005,2838.65478515625,471100,0,0,,,,,
2024/04/19,2824.92265365448,2851.40630353249,2769.01272613424,2804.81469726562,772100,0,0,,,,,
2024/04/22,2832.76973307629,2852.87768997659,2795.98688508793,2838.16455078125,683900,0,0,,,,,
2024/04/23,2838.65487472566,2848.4636337952,2791.57283119185,2807.26684570312,702600,0,0,,,,,
2024/04/24,2796.47720390787,2834.24092623353,2788.13975871909,2833.75048828125,640000,0,0,,,,,
2024/04/25,2826.88429260253,2855.82013112848,2755.77079114046,2762.146484375,613500,0,0,,,,,
2024/04/26,2746.45253648008,2821.48954328033,2720.94976292705,2819.03735351562,729400,0,0,,,,,
2024/04/30,2876.90908386271,2939.68514297188,2842.08798857559,2928.8955078125,727700,0,0,,,,,
2024/05/01,2900.45000533649,2910.25876423178,2843.06876579906,2845.03051757812,615000,0,0,,,,,
2024/05/02,2838.65498610438,2860.72469487679,2822.96097097733,2846.99243164062,364400,0,0,,,,,
2024/05/07,2883.28464026785,2901.92128192973,2810.69982537422,2826.88427734375,726800,0,0,,,,,
2024/05/08,2832.76957543065,2841.1070205107,2805.30505046111,2818.546875,463700,0,0,,,,,
2024/05/09,2844.54019708015,2901.92143898677,2839.145379465,2861.21508789062,512900,0,0,,,,,
2024/05/10,2840.61661132144,2893.5839100132,2835.71223181294,2866.11938476562,677400,0,0,,,,,
2024/05/13,2844.54016636651,2853.36804964144,2813.64257490425,2825.4130859375,636700,0,0,,,,,
2024/05/14,2874.45689018716,2881.81345960412,2792.55375067833,2795.98681640625,775100,0,0,,,,,
2024/05/15,2856.80108689992,2936.74247353763,2761.65612366239,2777.84057617187,1455800,0,0,2777.84057617187,,,2777.84057617187,
2024/05/16,2766.07016085549,2774.4076063758,2693.48534103163,2728.796875,1243100,0,0,,,,,
2024/05/17,2735.17250104631,2735.17250104631,2668.472938532,2677.79125976562,892900,0,0,,,,,
2024/05/20,2678.2817241059,2729.77771037785,2666.02077499354,2728.30639648437,729100,0,0,,,,,
2024/05/21,2748.41422829503,2786.17794984726,2733.21065208569,2735.66284179687,824600,0,0,,,,,
2024/05/22,2737.62473143191,2756.26137417545,2673.86779573034,2681.22436523437,723100,0,0,,,,,
2024/05/23,2697.4086541758,2698.87996798717,2658.17361920597,2682.205078125,550600,0,0,,,,,
2024/05/24,2665.03991571384,2706.23670498877,2659.6450980707,2669.45385742187,472200,0,0,,,,,
2024/05/27,2666.51114858,2673.86771786981,2643.46056480526,2668.47290039062,541900,0,0,,,,,
2024/05/28,2676.81045957407,2701.82279622455,2672.39651781223,2696.42797851562,478500,0,0,,,,,
2024/05/29,2658.17375688306,2681.71477908424,2621.88134765625,2621.88134765625,925400,0,0,,,,,
2024/05/30,2628.74753643942,2702.31323242187,2605.20651372504,2702.31323242187,1117600,0,0,,,,,
2024/05/31,2718.98806938559,2759.20398238877,2708.19843418961,2748.90478515625,874000,0,0,,,,,
2024/06/03,2753.31872106801,2801.38164138591,2753.31872106801,2769.50317382812,737800,0,0,,,,,
2024/06/04,2753.31856555566,2762.63688631547,2729.28710675405,2741.0576171875,557200,0,0,,,,,
2024/06/05,2721.9306287736,2733.70113960073,2700.841796875,2700.841796875,577500,0,0,,,,,
2024/06/06,2710.16024536088,2724.87338458651,2674.35827324518,2684.65747070312,669800,0,0,,,,,
2024/06/07,2686.61905948257,2701.8226357593,2676.81030059435,2685.63818359375,457800,0,0,,,,,
2024/06/10,2700.84183189048,2739.0959925746,2699.37051801801,2721.9306640625,577900,0,0,,,,,
2024/06/11,2737.6246867529,2739.09600062969,2692.50439453125,2692.50439453125,538100,0,0,,,,,
2024/06/12,2676.32003141467,2678.77222129136,2647.38419086978,2664.05908203125,681100,0,0,,,,,
2024/06/13,2655.23110084584,2669.45380160767,2574.30883789062,2574.30883789062,881000,0,0,,,,,
2024/06/14,2536.54507520722,2584.11755631609,2533.60244750976,2573.818359375,1023100,0,0,,,,,
2024/06/17,2568.42359854998,2568.42359854998,2504.1762257392,2515.45629882812,1050200,0,0,,,,,
2024/06/18,2537.52592303662,2538.01636098077,2511.53271199662,2523.30322265625,684100,0,0,,,,,
2024/06/19,2519.87024047161,2546.35389033254,2505.64753962037,2515.45629882812,697000,0,0,,,,,
2024/06/20,2514.96581502357,2539.48771259595,2513.49450116923,2535.56420898437,491400,0,0,,,,,
2024/06/21,2542.43042247386,2559.5957513293,2527.71728345492,2533.6025390625,874200,0,0,,,,,
2024/06/24,2553.22005264651,2567.44275366971,2526.73640246539,2551.25830078125,719200,0,0,,,,,
2024/06/25,2588.04117256926,2623.84314444676,2575.78022329614,2607.65869140625,746100,0,0,,,,,
2024/06/26,2615.50554599349,2622.37167718493,2555.18167909734,2564.5,1955400,0,0,,,,,
2024/06/27,2525,2556,2521,2544,1334100,50,0,,,,,
2024/06/28,2565,2584,2550.5,2568.5,1008500,0,0,,,,,
2024/07/01,2600,2610,2581.5,2593.5,730100,0,0,,,,,
2024/07/02,2612,2659.5,2603,2643.5,1310300,0,0,,,,,
2024/07/03,2621.5,2623.5,2564,2584,915700,0,0,,,,,
2024/07/04,2570,2593,2569,2584,828600,0,0,,,,,
2024/07/05,2583,2587,2515.5,2516.5,1108900,0,0,,,,,
2024/07/08,2520,2533.5,2508.5,2520,974400,0,0,,,,,
2024/07/09,2511,2519.5,2462.5,2505.5,1401600,0,0,,,,,
2024/07/10,2511,2534,2501,2531,934900,0,0,,,,,
2024/07/11,2588,2604.5,2569,2577,933900,0,0,,,,,
2024/07/12,2550,2582,2546.5,2554,1125000,0,0,,,,,
2024/07/16,2555,2564.5,2520.5,2523,876400,0,0,,,,,
2024/07/17,2538,2552,2522,2538.5,1261800,0,0,,,,,
2024/07/18,2530,2534.5,2503,2517.5,819900,0,0,,,,,
2024/07/19,2542,2549.5,2509.5,2533,778300,0,0,,,,,
2024/07/22,2534,2537,2474.5,2475,915200,0,0,,,,,
2024/07/23,2513,2542,2490.5,2517.5,659600,0,0,,,,,
2024/07/24,2515,2515,2458,2464.5,734600,0,0,,,,,
2024/07/25,2421.5,2436.5,2394,2396,1000700,0,0,,,,,
2024/07/26,2412,2439,2399,2407.5,650200,0,0,,,,,
2024/07/29,2429,2456,2413,2428,520900,0,0,,,,,
2024/07/30,2432,2458.5,2430,2456.5,476800,0,0,,,,,
